epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5292,1.01629,2.08606,1.22364,0.60182,0.72666,0.72032,0.57863,0.76558,2.08618,1.03693,0.000466993,0.000466993,0.000466993
2,35.2825,1.10439,1.42505,1.25662,0.48051,0.74299,0.67042,0.42939,1.2095,3.3236,1.45089,0.000933988,0.000933988,0.000933988
3,51.7734,1.22266,1.45195,1.3172,0.3852,0.57129,0.43629,0.22892,1.45535,4.9314,1.7786,0.00139155,0.00139155,0.00139155
4,68.2898,1.22344,1.38653,1.30203,0.70383,0.76768,0.81295,0.48136,1.15359,1.64299,1.29906,0.00138656,0.00138656,0.00138656
5,84.6573,1.18726,1.30369,1.30029,0.68169,0.81022,0.82806,0.50372,1.24627,1.60797,1.48666,0.00137241,0.00137241,0.00137241
6,101.038,1.16997,1.24547,1.27558,0.80926,0.90409,0.91819,0.66788,0.91694,0.9652,1.17868,0.00135826,0.00135826,0.00135826
7,117.54,1.12665,1.21859,1.24637,0.8995,0.79916,0.90653,0.65157,0.95064,1.08673,1.17265,0.00134412,0.00134412,0.00134412
8,133.921,1.12763,1.18306,1.25005,0.72144,0.90727,0.95016,0.71408,0.89906,0.87738,1.09741,0.00132997,0.00132997,0.00132997
9,150.387,1.10896,1.13535,1.2264,0.88819,0.82968,0.95299,0.7406,0.8218,0.83829,1.02509,0.00131582,0.00131582,0.00131582
10,166.908,1.08869,1.09217,1.20466,0.92504,0.90725,0.96553,0.75829,0.77072,0.72267,1.00461,0.00130168,0.00130168,0.00130168
11,183.395,1.04955,1.06454,1.19597,0.9702,0.91171,0.98228,0.82011,0.67205,0.60284,0.94397,0.00128753,0.00128753,0.00128753
12,199.902,1.05822,1.06949,1.20196,0.89731,0.9445,0.97743,0.80258,0.6997,0.64062,0.98682,0.00127338,0.00127338,0.00127338
13,216.3,0.99963,0.9769,1.17217,0.95596,0.9906,0.99175,0.82225,0.66509,0.53017,0.95307,0.00125923,0.00125923,0.00125923
14,232.838,1.02306,0.96884,1.17893,0.9127,0.89712,0.97135,0.77684,0.75693,0.7006,1.033,0.00124509,0.00124509,0.00124509
15,249.228,1.01411,1.0107,1.17611,0.92729,0.9785,0.98565,0.80323,0.72914,0.55347,0.96768,0.00123094,0.00123094,0.00123094
16,265.727,0.98892,0.95431,1.15516,0.90695,0.96639,0.98863,0.84029,0.65938,0.56735,0.93794,0.00121679,0.00121679,0.00121679
17,282.219,0.96189,0.95067,1.15382,0.94291,0.97523,0.98501,0.82244,0.71439,0.50178,0.95148,0.00120265,0.00120265,0.00120265
18,298.642,0.97626,0.916,1.14889,0.9539,0.97192,0.98985,0.83649,0.63918,0.5537,0.92133,0.0011885,0.0011885,0.0011885
19,314.987,0.94301,0.87803,1.1395,0.96335,0.97565,0.98873,0.84425,0.64131,0.50166,0.92807,0.00117435,0.00117435,0.00117435
20,331.472,0.9174,0.88473,1.13504,0.95325,0.9887,0.99007,0.80832,0.76105,0.48425,0.94907,0.00116021,0.00116021,0.00116021
21,347.855,0.93303,0.86432,1.12436,0.95139,0.97198,0.98822,0.84399,0.58765,0.50048,0.91523,0.00114606,0.00114606,0.00114606
22,364.249,0.92174,0.82923,1.12358,0.95008,0.94732,0.98285,0.81718,0.66526,0.51033,0.93932,0.00113191,0.00113191,0.00113191
23,380.578,0.9028,0.80844,1.10975,0.97404,0.97076,0.99217,0.86464,0.58473,0.4259,0.90583,0.00111776,0.00111776,0.00111776
24,397.13,0.89453,0.81193,1.10918,0.96126,0.97352,0.99142,0.86085,0.61198,0.4518,0.91825,0.00110362,0.00110362,0.00110362
25,413.51,0.90068,0.7981,1.12059,0.96978,0.9648,0.98978,0.80946,0.71706,0.48146,0.93714,0.00108947,0.00108947,0.00108947
26,429.941,0.88049,0.77669,1.10225,0.96427,0.94304,0.98596,0.82956,0.68081,0.47534,0.93198,0.00107532,0.00107532,0.00107532
27,446.313,0.88917,0.79954,1.12391,0.98558,0.99415,0.99116,0.86381,0.58667,0.38422,0.88776,0.00106118,0.00106118,0.00106118
28,462.744,0.8709,0.74449,1.08516,0.97356,0.98724,0.98488,0.84439,0.61084,0.43046,0.89693,0.00104703,0.00104703,0.00104703
29,479.107,0.8599,0.74349,1.09769,0.98641,0.96491,0.99147,0.87102,0.57112,0.39594,0.87961,0.00103288,0.00103288,0.00103288
30,495.66,0.85938,0.7662,1.10613,0.97029,0.98231,0.99272,0.87369,0.56901,0.39761,0.91631,0.00101873,0.00101873,0.00101873
31,512.166,0.86298,0.75331,1.09665,0.98902,0.9883,0.99191,0.89067,0.53001,0.38456,0.85516,0.00100459,0.00100459,0.00100459
32,528.632,0.83319,0.74878,1.07742,0.98111,0.9943,0.99424,0.86012,0.56596,0.38282,0.89004,0.00099044,0.00099044,0.00099044
33,545.167,0.8532,0.76114,1.09205,0.94862,0.98735,0.98151,0.8735,0.53439,0.41428,0.85719,0.000976293,0.000976293,0.000976293
34,561.575,0.84415,0.74165,1.07625,0.89707,0.98861,0.99241,0.8568,0.59568,0.45533,0.87007,0.000962146,0.000962146,0.000962146
35,578.041,0.82285,0.72523,1.07447,0.97034,1,0.99322,0.86836,0.56305,0.3812,0.86076,0.000947999,0.000947999,0.000947999
36,594.405,0.82714,0.70819,1.08887,0.97124,0.99538,0.99395,0.86539,0.57713,0.38704,0.87082,0.000933851,0.000933851,0.000933851
37,610.844,0.81391,0.68615,1.06562,0.98858,0.99415,0.99243,0.86826,0.57217,0.37365,0.85896,0.000919704,0.000919704,0.000919704
38,627.192,0.81747,0.69924,1.06099,0.97747,0.98487,0.993,0.88794,0.51825,0.35941,0.84749,0.000905557,0.000905557,0.000905557
39,643.639,0.80332,0.67761,1.06122,0.97752,1,0.992,0.87496,0.56709,0.37383,0.86338,0.00089141,0.00089141,0.00089141
40,660.052,0.82471,0.6955,1.06575,0.97454,0.98657,0.99191,0.88863,0.52491,0.35658,0.85159,0.000877263,0.000877263,0.000877263
41,676.462,0.79259,0.69436,1.05606,0.98272,0.99889,0.99424,0.87561,0.57357,0.36945,0.85473,0.000863116,0.000863116,0.000863116
42,692.831,0.81159,0.65705,1.0751,0.98316,0.99384,0.9928,0.89253,0.52056,0.36719,0.84995,0.000848969,0.000848969,0.000848969
43,709.365,0.79548,0.68315,1.05863,0.96452,0.99839,0.98591,0.87419,0.57728,0.38844,0.87702,0.000834822,0.000834822,0.000834822
44,725.747,0.76925,0.66078,1.05289,0.9904,0.98235,0.9934,0.89218,0.50872,0.35551,0.82928,0.000820675,0.000820675,0.000820675
45,742.156,0.78082,0.64815,1.05751,0.97707,0.98735,0.99234,0.88602,0.54362,0.34956,0.86527,0.000806528,0.000806528,0.000806528
46,758.512,0.76467,0.64137,1.0481,0.98019,0.99415,0.99268,0.89895,0.48705,0.33221,0.8333,0.00079238,0.00079238,0.00079238
47,774.977,0.76735,0.65354,1.05449,0.97877,0.99415,0.99192,0.89695,0.47512,0.33315,0.82333,0.000778233,0.000778233,0.000778233
48,791.343,0.74679,0.6239,1.0425,0.98631,0.98945,0.99262,0.89784,0.49264,0.33476,0.84216,0.000764086,0.000764086,0.000764086
49,807.735,0.76135,0.62917,1.04908,0.98023,0.98964,0.99285,0.88918,0.54075,0.35757,0.85081,0.000749939,0.000749939,0.000749939
50,824.094,0.73678,0.5982,1.02456,0.98798,0.99652,0.99431,0.88802,0.50848,0.32849,0.84446,0.000735792,0.000735792,0.000735792
51,840.533,0.74015,0.62944,1.04553,0.98125,0.99406,0.99249,0.89239,0.52196,0.33367,0.83901,0.000721645,0.000721645,0.000721645
52,856.933,0.73279,0.6246,1.03761,0.97501,0.99221,0.99403,0.88993,0.53615,0.3274,0.84558,0.000707498,0.000707498,0.000707498
53,873.376,0.73617,0.6313,1.03552,0.97892,0.99415,0.99351,0.90215,0.48735,0.32991,0.83544,0.000693351,0.000693351,0.000693351
54,889.829,0.73191,0.61127,1.03073,0.98295,0.99415,0.99148,0.89364,0.47717,0.32697,0.82407,0.000679204,0.000679204,0.000679204
55,906.233,0.73181,0.61553,1.03813,0.98407,0.99415,0.99377,0.89718,0.47074,0.32494,0.81776,0.000665057,0.000665057,0.000665057
56,922.631,0.73535,0.61273,1.04316,0.98236,0.99415,0.99342,0.91216,0.46218,0.31627,0.82418,0.000650909,0.000650909,0.000650909
57,939.19,0.70619,0.576,1.02934,0.97939,0.99909,0.99353,0.8998,0.5018,0.31508,0.83644,0.000636762,0.000636762,0.000636762
58,955.584,0.74391,0.59925,1.04209,0.96702,0.99491,0.99458,0.89674,0.48893,0.32093,0.84146,0.000622615,0.000622615,0.000622615
59,972.027,0.72181,0.6057,1.02729,0.96391,0.9932,0.9933,0.88885,0.509,0.34226,0.85244,0.000608468,0.000608468,0.000608468
60,988.484,0.6992,0.59878,1.01477,0.9871,1,0.99402,0.91567,0.44182,0.29789,0.81495,0.000594321,0.000594321,0.000594321
61,1005.02,0.71149,0.55636,1.02992,0.97878,0.99428,0.98902,0.90436,0.46011,0.30427,0.81626,0.000580174,0.000580174,0.000580174
62,1021.46,0.70816,0.57928,1.03417,0.98496,0.99992,0.99384,0.90612,0.46338,0.2904,0.82098,0.000566027,0.000566027,0.000566027
63,1037.87,0.69863,0.54834,1.02198,0.98412,0.99415,0.99181,0.89669,0.47755,0.30278,0.81538,0.00055188,0.00055188,0.00055188
64,1054.25,0.69348,0.57247,1.02723,0.98825,0.98911,0.99272,0.90758,0.46389,0.29462,0.82736,0.000537733,0.000537733,0.000537733
65,1070.6,0.69533,0.56239,1.01854,0.97687,0.99906,0.99308,0.90789,0.46193,0.29498,0.81688,0.000523586,0.000523586,0.000523586
66,1086.98,0.69108,0.57578,1.0317,0.98413,0.9932,0.99215,0.90509,0.45133,0.30477,0.81061,0.000509438,0.000509438,0.000509438
67,1103.35,0.65821,0.53832,0.99631,0.99113,1,0.99431,0.91259,0.4624,0.29828,0.81351,0.000495291,0.000495291,0.000495291
68,1119.77,0.69839,0.5663,1.02815,0.9909,1,0.99362,0.91396,0.43329,0.27852,0.81054,0.000481144,0.000481144,0.000481144
69,1136.15,0.67834,0.54374,1.02501,0.98383,1,0.99242,0.91331,0.43059,0.29299,0.80538,0.000466997,0.000466997,0.000466997
70,1152.55,0.67352,0.56888,1.02357,0.98926,1,0.99351,0.91232,0.44167,0.28602,0.81115,0.00045285,0.00045285,0.00045285
71,1168.89,0.6671,0.55205,1.01397,0.97214,0.99347,0.99294,0.91811,0.43933,0.30037,0.80967,0.000438703,0.000438703,0.000438703
72,1185.46,0.6614,0.534,1.00987,0.98563,1,0.99431,0.91804,0.42231,0.27613,0.80078,0.000424556,0.000424556,0.000424556
73,1202.05,0.65391,0.51932,1.00525,0.98228,0.99274,0.99194,0.9148,0.43702,0.28554,0.80368,0.000410409,0.000410409,0.000410409
74,1218.43,0.64697,0.52834,0.99997,0.98939,0.98985,0.99391,0.92127,0.43256,0.27513,0.80196,0.000396262,0.000396262,0.000396262
75,1234.85,0.65018,0.52197,1.00093,0.97799,0.99421,0.99389,0.91892,0.41816,0.27005,0.79381,0.000382115,0.000382115,0.000382115
76,1251.25,0.63605,0.50488,1.01089,0.99055,1,0.99454,0.92288,0.43746,0.2678,0.79895,0.000367967,0.000367967,0.000367967
77,1267.73,0.65637,0.52611,1.01157,0.98667,0.99427,0.99374,0.9181,0.43315,0.27685,0.81072,0.00035382,0.00035382,0.00035382
78,1284.1,0.59876,0.511,0.98396,0.98877,1,0.99431,0.90885,0.44374,0.27414,0.80615,0.000339673,0.000339673,0.000339673
79,1300.46,0.61868,0.50239,0.99905,0.98214,1,0.9939,0.91471,0.43856,0.28373,0.80532,0.000325526,0.000325526,0.000325526
80,1316.84,0.63131,0.53139,0.99511,0.98608,0.99978,0.99414,0.92433,0.42495,0.27766,0.79994,0.000311379,0.000311379,0.000311379
81,1333.28,0.61859,0.49752,0.99334,0.99004,1,0.99299,0.92027,0.41779,0.26802,0.79377,0.000297232,0.000297232,0.000297232
82,1349.63,0.61347,0.49023,0.98744,0.99032,1,0.99351,0.90856,0.42668,0.26635,0.79579,0.000283085,0.000283085,0.000283085
83,1365.96,0.62076,0.49373,0.99528,0.99182,0.99974,0.99402,0.93019,0.40624,0.26093,0.7901,0.000268938,0.000268938,0.000268938
84,1382.48,0.60008,0.48329,0.98364,0.98826,1,0.99379,0.92535,0.41019,0.27218,0.78993,0.000254791,0.000254791,0.000254791
85,1398.81,0.59002,0.48307,0.97754,0.98965,1,0.99391,0.92492,0.4084,0.26612,0.78493,0.000240644,0.000240644,0.000240644
86,1415.23,0.58626,0.46929,0.9769,0.98417,0.99415,0.99382,0.92667,0.41167,0.2623,0.789,0.000226497,0.000226497,0.000226497
87,1431.56,0.56744,0.46965,0.97421,0.98436,0.99403,0.99297,0.92657,0.39626,0.26852,0.78041,0.000212349,0.000212349,0.000212349
88,1447.96,0.57796,0.48223,0.98138,0.98727,1,0.99362,0.92777,0.40157,0.26154,0.78388,0.000198202,0.000198202,0.000198202
89,1464.38,0.58648,0.47877,0.97513,0.99076,1,0.9942,0.9272,0.4101,0.25337,0.78602,0.000184055,0.000184055,0.000184055
90,1480.8,0.57314,0.46374,0.97736,0.99102,1,0.99391,0.92461,0.39412,0.25456,0.77918,0.000169908,0.000169908,0.000169908
91,1498.19,0.43532,0.30454,0.90137,0.98886,1,0.99443,0.92231,0.40203,0.25993,0.78514,0.000155761,0.000155761,0.000155761
92,1514.58,0.42354,0.28105,0.88752,0.98945,1,0.9942,0.92248,0.40833,0.26128,0.78483,0.000141614,0.000141614,0.000141614
93,1530.97,0.4317,0.27807,0.89156,0.9903,1,0.99443,0.93079,0.39311,0.24912,0.78221,0.000127467,0.000127467,0.000127467
94,1547.41,0.42284,0.27295,0.89587,0.99101,1,0.9942,0.93275,0.3956,0.25001,0.78256,0.00011332,0.00011332,0.00011332
95,1563.92,0.4242,0.27814,0.89152,0.9842,1,0.99374,0.92834,0.39245,0.24707,0.78338,9.91726e-05,9.91726e-05,9.91726e-05
96,1580.22,0.40711,0.2689,0.88548,0.99065,1,0.9942,0.93512,0.3961,0.25214,0.78304,8.50255e-05,8.50255e-05,8.50255e-05
97,1596.67,0.42456,0.28378,0.90922,0.98872,1,0.99402,0.93547,0.38683,0.24741,0.77923,7.08784e-05,7.08784e-05,7.08784e-05
98,1613.06,0.41425,0.31318,0.89636,0.98876,1,0.99414,0.93651,0.38392,0.2448,0.77465,5.67313e-05,5.67313e-05,5.67313e-05
99,1629.52,0.39524,0.26243,0.88535,0.98957,1,0.9942,0.93728,0.37611,0.24477,0.77404,4.25842e-05,4.25842e-05,4.25842e-05
100,1645.91,0.384,0.25399,0.88341,0.99043,1,0.99431,0.94033,0.37491,0.24229,0.77459,2.84371e-05,2.84371e-05,2.84371e-05
